current,voltage,temperature,power,time
0.4668,4.15,269.8549,1.937329469,225.0
0.4822,4.1499,269.9084,2.000912435,226.0
0.4659,4.1499,269.87449999999995,1.933563672,227.0
0.4844,4.1499,269.8923,2.010242219,228.0
0.4806,4.15,269.8671,1.994395247,229.0
0.4752,4.1501,269.82529999999997,1.971999106,230.0
0.4729,4.1499,269.8107,1.962538114,231.0
0.47,4.1501,269.851,1.950452794,232.0
0.4562,4.1499,269.72139999999996,1.893301414,233.0
0.4634,4.15,269.7797,1.923300521,234.0
0.4691,4.15,269.8123,1.946674929,235.0
0.449,4.15,269.8721,1.863408095,236.0
0.4779,4.15,269.7802,1.98316367,237.0
0.4574,4.15,269.7219,1.898034407,238.0
0.4643,4.1499,269.8504,1.926991845,239.0
0.4639,4.15,269.8157,1.925153507,240.0
0.4596,4.15,269.86379999999997,1.907380022,241.0
0.4472,4.15,269.8864,1.855933315,242.0
0.4682,4.1499,269.79179999999997,1.942893952,243.0
0.4533,4.15,269.92609999999996,1.881204993,244.0
0.4556,4.15,269.928,1.89054496,245.0
0.445,4.1499,269.93129999999996,1.846544371,246.0
0.4682,4.1499,269.8719,1.942909133,247.0
0.4596,4.1499,269.79929999999996,1.907350655,248.0
0.4562,4.1499,269.9864,1.893321987,249.0
0.4524,4.1499,269.97159999999997,1.877405033,250.0
0.4535,4.15,269.96369999999996,1.882128706,251.0
0.4614,4.15,269.871,1.91487545,252.0
0.4486,4.1499,269.9898,1.861511333,253.0
0.4659,4.15,269.85999999999996,1.933602552,254.0
0.461,4.15,269.9786,1.913007409,255.0
0.4686,4.15,269.94,1.944806817,256.0
0.4425,4.1499,269.7491,1.836277395,257.0
0.4506,4.1498,269.91299999999995,1.869904459,258.0
0.4522,4.15,269.9586,1.876527671,259.0
0.4359,4.1498,269.94199999999995,1.809102205,260.0
0.4427,4.1499,269.94169999999997,1.837175953,261.0
0.4774,4.15,269.92789999999997,1.981305065,262.0
0.451,4.15,269.9468,1.871841746,263.0
0.4506,4.1499,269.91769999999997,1.869944853,264.0
0.4416,4.1499,269.9556,1.832524268,265.0
0.4632,4.15,269.97319999999996,1.922376934,266.0
0.4547,4.15,269.9351,1.886835266,267.0
0.4468,4.1499,269.9405,1.854050922,268.0
0.4373,4.15,269.9522,1.814793096,269.0
0.4535,4.15,269.9244,1.882143195,270.0
0.4535,4.1499,269.9984,1.882093888,271.0
0.4438,4.1499,269.9427,1.841884438,272.0
0.4495,4.1499,269.9298,1.86525883,273.0
0.4443,4.1499,270.0229,1.843758065,274.0
0.4495,4.15,269.9688,1.86529355,275.0
0.433,4.1499,269.9228,1.796947206,276.0
0.4317,4.15,269.8973,1.791403655,277.0
0.4258,4.1499,270.00199999999995,1.767038292,278.0
0.4407,4.1499,270.0198,1.828762783,279.0
0.4321,4.1499,269.94669999999996,1.793233146,280.0
0.4438,4.15,269.99559999999997,1.841901581,281.0
0.4479,4.1499,270.0052,1.858725065,282.0
